date,value,cash,positions,regime,model,num_positions,monthly_halted,ret,cummax,window
2022-11-03,2705334.771789996,2705334.771789996,0.0,severe_bear,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-11-04,2705334.771789996,2705334.771789996,0.0,sideways,5d_10%,0,False,0.0,2738503.3192899963,2022 Bear
2022-11-07,2671107.331789996,1895483.331789996,775624.0,sideways,5d_10%,2,False,-0.01265183161688832,2738503.3192899963,2022 Bear
2022-11-08,2710019.926789996,2280014.926789996,430005.00000000006,sideways,5d_10%,1,False,0.014567963831660702,2738503.3192899963,2022 Bear
2022-11-09,2682769.926789996,2280014.926789996,402755.00000000006,sideways,5d_10%,1,False,-0.010055276616462883,2738503.3192899963,2022 Bear
2022-11-10,2689854.926789996,2280014.926789996,409840.0,sideways,5d_10%,1,False,0.0026409271735341466,2738503.3192899963,2022 Bear
2022-11-11,2662460.283789996,2662460.283789996,0.0,sideways,5d_10%,0,False,-0.01018443140823666,2738503.3192899963,2022 Bear
2022-11-14,2622733.900089996,1864975.900089996,757758.0,sideways,5d_10%,2,False,-0.014920930066776417,2738503.3192899963,2022 Bear
2022-11-15,2622443.011289996,1305874.0112899959,1316569.0,sideways,5d_10%,3,False,-0.00011091052736611484,2738503.3192899963,2022 Bear
2022-11-16,2621914.752329996,1284941.7523299959,1336973.0,sideways,5d_10%,3,False,-0.00020143772723602016,2738503.3192899963,2022 Bear
2022-11-17,2667716.752329996,1284941.7523299959,1382775.0,sideways,5d_10%,3,False,0.017468912732306663,2738503.3192899963,2022 Bear
2022-11-18,2759825.752329996,1284941.7523299959,1474884.0,sideways,5d_10%,3,False,0.034527278774836745,2759825.752329996,2022 Bear
2022-11-21,2825044.201729996,2159781.201729996,665263.0,sideways,5d_10%,1,False,0.023631364895026152,2825044.201729996,2022 Bear
2022-11-22,2891723.201729996,2159781.201729996,731942.0,sideways,5d_10%,1,False,0.02360281653616858,2891723.201729996,2022 Bear
2022-11-23,2946275.295329996,2074355.295329996,871920.0,sideways,5d_10%,2,False,0.01886490849724609,2946275.295329996,2022 Bear
2022-11-24,2956619.295329996,2074355.295329996,882264.0,sideways,5d_10%,2,False,0.0035108735481697018,2956619.295329996,2022 Bear
2022-11-25,2959216.393729996,1451314.393729996,1507902.0,sideways,5d_10%,3,False,0.0008784013566109916,2959216.393729996,2022 Bear
2022-11-28,2998584.393729996,1451314.393729996,1547270.0,sideways,5d_10%,3,False,0.013303521865928092,2998584.393729996,2022 Bear
2022-11-29,3115026.393729996,1451314.393729996,1663712.0,recovery,5d_10%,3,False,0.03883232376033141,3115026.393729996,2022 Bear
2022-11-30,3203034.010129996,2448618.010129996,754416.0,recovery,5d_10%,1,False,0.028252606968963034,3203034.010129996,2022 Bear
2022-12-01,3278798.010129996,2448618.010129996,830180.0,recovery,5d_10%,1,False,0.0236538231440524,3278798.010129996,2022 Bear
2022-12-02,3195239.667729996,3195239.667729996,0.0,recovery,5d_10%,0,False,-0.025484443427695957,3278798.010129996,2022 Bear
2022-12-05,3195239.667729996,3195239.667729996,0.0,recovery,5d_10%,0,False,0.0,3278798.010129996,2022 Bear
2022-12-06,3195239.667729996,3195239.667729996,0.0,recovery,5d_10%,0,False,0.0,3278798.010129996,2022 Bear
2022-12-07,3126268.159329996,638452.159329996,2487816.0,bull,5d_10%,2,False,-0.021585707356030603,3278798.010129996,2022 Bear
2022-12-08,3350821.2858299958,130197.28582999588,3220624.0,bull,5d_10%,3,False,0.0718278519486073,3350821.2858299958,2022 Bear
2022-12-09,3449332.2858299958,130197.28582999588,3319135.0,bull,5d_10%,3,False,0.029399061184368414,3449332.2858299958,2022 Bear
2022-12-12,3423368.548379996,611544.5483799959,2811824.0,bull,5d_10%,2,False,-0.007527177812546526,3449332.2858299958,2022 Bear
2022-12-13,3413653.6176599953,1821213.6176599958,1592439.9999999998,recovery,5d_10%,1,False,-0.0028378278828897763,3449332.2858299958,2022 Bear
2022-12-14,3251829.8648599954,3251829.8648599954,0.0,bull,5d_10%,0,False,-0.047404854424253906,3449332.2858299958,2022 Bear
2022-12-15,3419047.902859995,647708.9028599951,2771339.0,bull,5d_10%,1,False,0.051422751173729964,3449332.2858299958,2022 Bear
2022-12-16,3298554.902859995,647708.9028599951,2650846.0,bull,5d_10%,1,False,-0.03524168231138525,3449332.2858299958,2022 Bear
2022-12-19,3007121.1483599953,621121.1483599951,2386000.0,bull,5d_10%,2,False,-0.08835194898448218,3449332.2858299958,2022 Bear
2022-12-20,3166891.1483599953,621121.1483599951,2545770.0,recovery,5d_10%,2,False,0.05313054982408483,3449332.2858299958,2022 Bear
2022-12-21,3240165.1483599953,621121.1483599951,2619044.0,recovery,5d_10%,2,False,0.023137517700267507,3449332.2858299958,2022 Bear
2022-12-22,3139048.1483599953,621121.1483599951,2517927.0,recovery,5d_10%,2,False,-0.031207359924595224,3449332.2858299958,2022 Bear
2022-12-23,3002968.198359995,1801742.1983599951,1201226.0,recovery,5d_10%,1,False,-0.043350704917060834,3449332.2858299958,2022 Bear
